Region,EmploymentStatus,PropertyType,Education,MaritalStatus,Age,Income,HousingCost,Savings,RecordDate
North West,Unemployed,Semi-Detached,High School,Married,21,78339,29391.1968462152,11191.9499664777,2022-12-19
Scotland,Employed,Semi-Detached,High School,Married,21,38398,19038.3372277647,7312.44190106954,2022-06-17
Wales,Self-Employed,House,Bachelor,Married,48,18761,5300.12420814127,2706.57925236067,2022-09-08
Wales,Self-Employed,Flat,Phd,Married,56,82955,41047.9263168142,19075.9236124356,2020-08-12
London,Employed,House,Bachelor,Married,53,19788,9135.75469672291,2390.70571727277,2020-06-18
North West,Employed,House,Bachelor,Single,38,33075,17324.5609835755,12123.051826333,2021-01-21
Scotland,Unemployed,House,Bachelor,Single,29,70596,16744.9808105509,13881.4232818538,2023-07-21
South East,Employed,Detached,Phd,Married,24,84828,59465.413688297,18807.7245084636,2020-03-24
London,Employed,Detached,Bachelor,Married,51,54721,27729.8147529022,14903.976303028,2020-09-23
Midlands,Self-Employed,Detached,Master,Single,62,54168,18815.9793639164,7306.85527749513,2021-01-25
South East,Unemployed,Semi-Detached,High School,Single,55,62944,25146.6460554403,13881.4232818538,2023-02-21
Midlands,Self-Employed,Semi-Detached,High School,Married,25,81284,35496.4169804538,33842.9241591396,2023-11-21
South East,Unemployed,Semi-Detached,Phd,Divorced,55,85303,96086.0991455722,23466.6827637802,2023-03-17
South East,Unemployed,Flat,Phd,Divorced,54,51925,17104.3506018141,11347.9737754945,2021-07-22
South East,Self-Employed,Flat,Bachelor,Single,55,33228,9015.28127197785,11731.9146854527,2023-06-06
Midlands,Self-Employed,Flat,High School,Married,35,54659,12301.8100028075,17215.1514657358,2023-09-01
Midlands,Unemployed,House,Phd,Single,41,53231,18585.9274585667,8637.08058813513,2021-01-13
South East,Employed,Semi-Detached,Bachelor,Divorced,39,20758,5353.90705278257,8863.65936538204,2022-04-04
London,Unemployed,House,High School,Divorced,27,67528,22759.5398205431,13881.4232818538,2023-07-08
Scotland,Employed,Flat,High School,Divorced,42,29136,12218.1951783405,11767.1184650875,2021-07-01
Wales,Unemployed,Flat,High School,Single,27,89387,22759.5398205431,40633.7880355619,2021-08-10
South East,Unemployed,Semi-Detached,High School,Married,31,32435,10274.5850657108,7879.21274697621,2020-12-30
North West,Unemployed,Detached,Bachelor,Divorced,48,37689,21143.4975961544,13187.5058054212,2023-12-27
London,Employed,House,Bachelor,Married,30,69196,30955.3370385612,29467.8019510801,2022-02-27
Midlands,Self-Employed,Semi-Detached,Phd,Married,65,72256,33744.8426921378,11220.5266453966,2023-01-03
South East,Self-Employed,Flat,Phd,Divorced,57,46748,22043.8721740557,11438.4769890725,2021-12-16
Midlands,Employed,Detached,Phd,Single,56,73191,23188.7697381659,8954.64558043283,2022-01-31
London,Unemployed,Flat,High School,Married,59,38732,22759.5398205431,6061.98393789401,2020-10-13
Wales,Unemployed,Detached,Phd,Married,42,76192,70203.3352448146,13881.4232818538,2022-05-17
Wales,Self-Employed,Detached,Master,Divorced,35,73531,41807.4135055043,35974.9631955033,2021-01-11
Wales,Unemployed,Flat,Phd,Married,41,71097,36059.5892051022,8664.49636460546,2021-11-18
London,Employed,Detached,Bachelor,Divorced,27,26561,3789.23903372735,10693.6863910621,2023-03-02
London,Unemployed,Semi-Detached,High School,Single,41,30217,12670.7555041994,14873.3105346378,2020-09-22
Wales,Unemployed,Flat,Master,Married,53,31238,10759.95308227,3419.75269407686,2020-06-10
Wales,Self-Employed,House,Bachelor,Married,53,53818,67349.3503884237,23672.504976616,2021-07-30
Wales,Employed,House,Master,Married,24,56970,35692.7820917608,24032.2936094961,2023-03-06
Midlands,Unemployed,House,High School,Married,40,81324,27176.2898767509,8205.0811442113,2020-03-13
London,Self-Employed,Semi-Detached,Phd,Married,59,75939,28524.1946048767,30525.750954813,2020-04-03
Midlands,Employed,Semi-Detached,Master,Married,25,66864,15372.2683166218,11483.072254643,2021-09-28
Scotland,Self-Employed,Semi-Detached,Bachelor,Single,61,62222,22759.5398205431,16296.5072761545,2023-05-24
Scotland,Unemployed,House,Master,Married,63,66944,22759.5398205431,13881.4232818538,2023-12-20
Midlands,Employed,Semi-Detached,High School,Single,44,55957,12289.1737288737,8231.10041396081,2022-05-13
South East,Self-Employed,Flat,High School,Single,40,45686,22877.4956766173,9858.07265471994,2023-02-18
Scotland,Unemployed,Semi-Detached,Bachelor,Single,64,59497,21104.9236145739,27808.9364148065,2022-11-11
South East,Unemployed,Semi-Detached,Bachelor,Married,23,59704,31733.656729167,15190.5783354886,2023-04-23
North West,Self-Employed,Detached,Master,Single,57,89197,35616.9037884936,38118.4257245063,2022-06-24
Midlands,Employed,Semi-Detached,High School,Married,49,50495,10942.5156629084,10911.2020763821,2023-03-29
North West,Unemployed,Detached,Bachelor,Divorced,48,37689,21143.4975961544,13187.5058054212,2023-12-27
South East,Employed,House,High School,Divorced,58,49258,33562.0318800028,20545.2984505371,2021-11-25
Midlands,Employed,Semi-Detached,High School,Single,46,53818,22911.0415906956,7209.49092854089,2023-10-07
London,Unemployed,House,High School,Married,29,78901,42317.6427375785,26682.8133518223,2023-01-27
Wales,Employed,Detached,Master,Married,53,70028,30109.7673384871,26083.3112452515,2021-12-06
North West,Self-Employed,Flat,Bachelor,Divorced,38,30193,6804.16825283142,13856.0202560106,2020-09-30
Midlands,Self-Employed,Semi-Detached,Bachelor,Divorced,26,58577,26484.2423349035,24911.2700326078,2022-05-17
London,Self-Employed,Detached,Master,Single,50,88284,27129.0535364665,11611.1186748634,2023-09-16
South East,Unemployed,Semi-Detached,High School,Married,31,32435,10274.5850657108,7879.21274697621,2020-12-30
Wales,Unemployed,Flat,High School,Single,54,18951,10749.4849232585,9376.17282439756,2021-12-03
Wales,Unemployed,Flat,Phd,Married,41,71097,36059.5892051022,8664.49636460546,2021-11-18
London,Self-Employed,Detached,Bachelor,Single,56,23155,11758.716911056,5083.63713700519,2021-01-23
Scotland,Unemployed,Flat,Bachelor,Married,26,57498,35115.0438364744,28455.0612172199,2020-12-15
North West,Self-Employed,House,Phd,Married,50,70262,24352.3926823356,15810.3088669994,2020-06-23
South East,Self-Employed,Flat,Phd,Married,56,87467,22759.5398205431,17668.1816537418,2020-04-15
South East,Self-Employed,Semi-Detached,High School,Married,64,53818,40052.3951584673,23184.177428566,2023-09-08
Wales,Unemployed,Flat,High School,Married,53,67930,25640.7636340605,13881.4232818538,2021-11-25
Wales,Self-Employed,Detached,Master,Divorced,35,73531,41807.4135055043,35974.9631955033,2021-01-11
Scotland,Employed,Flat,Master,Divorced,44,89046,43580.0744367911,35974.7311357746,2020-03-07
Scotland,Unemployed,Semi-Detached,Master,Divorced,41,37786,17944.4072224028,13881.4232818538,2020-04-26
London,Employed,Flat,Phd,Divorced,34,22804,14007.4923398367,10434.9821005553,2021-08-18
Midlands,Unemployed,Detached,Phd,Married,32,21416,6332.1786936741,2392.62516434103,2021-04-21
Scotland,Unemployed,Semi-Detached,Bachelor,Divorced,24,53818,26835.2862100294,19747.2648830275,2021-12-11
South East,Employed,Flat,High School,Divorced,23,53818,30934.5789806952,15141.8334321901,2021-08-15
South East,Unemployed,Semi-Detached,Bachelor,Married,38,39150,14839.9941660388,13420.4408093845,2021-07-13
South East,Unemployed,Detached,Bachelor,Divorced,21,53818,43029.9985052869,23176.7196825603,2023-10-25
North West,Unemployed,House,Bachelor,Married,47,64281,22849.7426551505,24447.8269445842,2020-12-31
Midlands,Self-Employed,Detached,Master,Single,25,54344,29637.8660167801,13881.4232818538,2021-02-14
South East,Unemployed,Semi-Detached,Phd,Married,36,37342,12999.9813878277,17067.6812921539,2022-08-09
London,Self-Employed,House,Bachelor,Married,21,83509,45373.7832401373,19702.1862379894,2020-02-17
London,Employed,House,Bachelor,Married,53,19788,9135.75469672291,2390.70571727277,2020-06-18
North West,Unemployed,Detached,High School,Single,37,41405,18114.0112739079,4774.11570256474,2023-03-26
Midlands,Employed,Semi-Detached,High School,Married,33,56219,25127.5779068382,22253.1889592664,2023-01-24
Scotland,Employed,Flat,Bachelor,Single,38,44975,39199.7383561412,12489.1881533177,2022-06-14
North West,Unemployed,Semi-Detached,Phd,Divorced,25,34426,16537.8006229825,9638.92879507772,2020-09-21
South East,Self-Employed,Semi-Detached,Master,Divorced,42,33095,9931.54955992798,5172.84136464787,2022-01-19
Scotland,Employed,Semi-Detached,Phd,Married,48,31274,6960.90797248349,8807.71867906247,2021-01-31
